method,run_name,seed,step,scenario,success_rate,collision_rate,mean_min_distance,near_miss_rate,mean_time,mean_episode_reward,distance_warning_cost_mean,distance_warning_cost_p50,distance_warning_cost_p90,distance_warning_cost_p95,distance_warning_cost_max,risk_sum_mean,risk_sum_p50,risk_sum_p90,risk_sum_p95,risk_sum_max,risk_max_mean,risk_max_p50,risk_max_p90,risk_max_p95,risk_max_max,reaction_time_eval_style,reaction_time_nan_style,reaction_time,min_distance_after_turn,nan_reaction_rate,no_response_count,total_episodes
attention_full_distance_penalty,attention_full_distance_penalty,0,250000,eval_random_switch,1.0,0.0,1.654870673418045,0.04,7.367999999999999,22.400807868629357,8.16646443126956e-07,0.0,0.0,2.292656517965952e-08,2.9981065719154e-05,0.010941292952377895,0.0003789738370646479,0.029644062004491958,0.057362904238738396,0.11716907505997684,0.010911372204293996,0.00037892015518020005,0.02949136992538262,0.05723443729633261,0.1171586419746413,,,,,1.0,0.0,50.0
attention_full_distance_penalty,attention_full_distance_penalty,0,250000,eval_sudden_turn,1.0,0.0,1.5018977510929108,0.04,7.352,22.3064019872293,3.1656595911042203e-06,0.0,0.0,0.0,0.00011396396946942236,0.009352378790043714,0.0002849286714304208,0.020752983119499465,0.04837600257573851,0.1347851894115956,0.009322412580953548,0.0002846649142705494,0.02070555455706991,0.04815762866187067,0.13472714020241253,0.26400000000000007,0.26400000000000007,0.26400000000000007,2.0142375826835632,0.0,0.0,50.0
attention_full_distance_penalty,attention_full_distance_penalty,0,250000,eval_random_switch_hard,1.0,0.0,1.0905732655525207,0.26,7.291999999999999,22.069763611486128,0.0009587889632814804,0.0,0.003014821445103728,0.00604277777456445,0.011572831996147807,0.028234204803593413,0.006505140044826963,0.06667055033208268,0.1292741412890609,0.3034642722457647,0.02769490987528111,0.006264263827844599,0.06580780311262964,0.12530551061558068,0.30261195994913576,,,,,1.0,0.0,50.0
attention_full_distance_penalty,attention_full_distance_penalty,0,250000,mixed_uncertainty,0.92,0.08,1.0149364972114563,0.52,7.216,20.68607852345489,0.0018482988526738909,0.0,0.003645976902262185,0.010837023676248224,0.03346216738691295,0.05244397517271516,5.350136207936805e-06,0.21594263733069813,0.31977004276731075,0.49211036275781994,0.052140080714376424,4.2855236490469676e-06,0.2145188401190883,0.31699755231061044,0.4911941723123968,0.2320000000000001,0.2320000000000001,0.2320000000000001,1.0149364972114563,0.0,0.0,50.0
attention_full_distance_penalty,attention_full_distance_penalty,0,500000,eval_random_switch,1.0,0.0,1.5401763772964479,0.06,7.144000000000001,22.407943263087333,2.81517108987794e-05,0.0,9.868554770946e-06,0.000130831311689688,0.0006035806599471962,0.015724895117639356,0.0003789479556719323,0.04328287850176445,0.0803614188358348,0.1704792884815559,0.01563011020127535,0.0003786795853033795,0.04266972070521739,0.08008888811865073,0.17001874671402206,,,,,1.0,0.0,50.0
attention_full_distance_penalty,attention_full_distance_penalty,0,500000,eval_sudden_turn,1.0,0.0,1.3306029641628265,0.14,7.0920000000000005,22.327359434631543,0.0002233873375553183,0.0,0.0,0.00113655280554667,0.004731721862750287,0.02133359109229782,0.0008325840904230479,0.05710276188553959,0.108098950497947,0.2540099184600695,0.021286767554963674,0.0008296146583388521,0.05703322413273892,0.10791685707495159,0.25389780571815207,1.2320000000000004,0.5020408163265307,1.2320000000000004,1.91996799826622,0.02,1.0,50.0
attention_full_distance_penalty,attention_full_distance_penalty,0,500000,eval_random_switch_hard,0.92,0.08,0.9281982898712158,0.62,6.508000000000001,19.570834587198856,0.008747402017106626,0.004112203717231746,0.019458134379237886,0.025336541543219925,0.03670686905268352,0.1116377428360283,0.07868206907115499,0.15998256836610378,0.30734549667686223,0.585437393784523,0.10976921029388902,0.07774188826619277,0.1553864306816831,0.29446912575513123,0.5804369452595711,,,,,1.0,0.0,50.0
attention_full_distance_penalty,attention_full_distance_penalty,0,500000,mixed_uncertainty,0.98,0.02,1.0129500716924666,0.56,7.148,21.84587203739143,0.0016186389150538894,0.0,0.0019497275254980121,0.008748576325997402,0.029967114095175586,0.05688776831527289,0.00039077178699418384,0.23481827933957133,0.3662573092942466,0.49676029964292867,0.056738674905127164,0.0003532994161165696,0.23449930874315356,0.36529751469840904,0.49660485847795827,0.3080000000000001,0.3080000000000001,0.3080000000000001,1.0129500716924666,0.0,0.0,50.0
attention_full_distance_penalty,attention_full_distance_penalty,0,750000,eval_random_switch,1.0,0.0,1.3091441690921783,0.12,6.8759999999999994,22.4690294205284,0.00010008906514485351,0.0,8.863104507327e-05,0.0005931913492713613,0.001884439583536796,0.029068349806130062,0.001733838777847109,0.08002001629020673,0.15157067524126902,0.28420513438381434,0.028790478944520363,0.0017101135848415785,0.07922274539464273,0.1505392635517957,0.28348007919587376,,,,,1.0,0.0,50.0
attention_full_distance_penalty,attention_full_distance_penalty,0,750000,eval_sudden_turn,0.98,0.02,1.1184253466129304,0.32,6.704000000000001,21.711050304041454,0.0012571013748674765,0.0,0.003265285184616004,0.005560616569418919,0.01183875814021965,0.04849029815464741,0.01616751343413421,0.09874584750854407,0.19181993117788806,0.3862755459896289,0.04821797848824641,0.01615341280696208,0.09827903172350483,0.19104812138713897,0.38583631116664036,11.032653061224492,0.6457142857142859,11.032653061224492,1.58254256606102,0.3,14.0,50.0
