policy_name,scenario,episode_id,success,collision,near_miss,mean_min_distance,min_distance,progress,mean_time,episode_length,threat_valid_rate,planned_cpa_min,planned_cpa_mean,planned_ttc_min,planned_ttc_mean,replacement_count,spawn_count,remove_count,mean_active_obstacle_count,max_active_obstacle_count,min_active_obstacle_count,init_collision,out_of_bounds,out_of_bounds_count,nan_or_crash,turn_time,threat_obstacle_id,planned_cpa_to_threat,planned_ttc_to_threat
random,eval_flow_id,0,0,0,0,8.49449838256836,4.195568084716797,0.1383111282747305,100.0,500,1.0,0.5902717709541321,1.913710355758667,0.0,0.15030010044574738,68,73,68,5.0,5,5,0,0,0,0,,70,0.590271750014508,8.104257514417494
random,eval_flow_id,1,0,0,0,7.866084933280945,4.591183662414551,0.2476727261509468,100.0,500,1.0,0.3680226802825928,1.7630387544631958,0.0,1.4686267375946045,118,126,118,8.0,8,8,0,0,0,0,,133,0.3680226802563242,6.875174607978688
random,eval_flow_id,2,0,0,0,8.01044937992096,4.876901149749756,0.09915498268367139,100.0,500,1.0,0.489115446805954,2.058839797973633,0.0,1.3979827165603638,102,109,102,7.0,7,7,0,0,0,0,,111,0.4891154611013826,7.112765673214163
random,eval_flow_id,3,0,0,0,8.076912587165832,5.576864719390869,0.10705944369820987,100.0,500,1.0,0.679145097732544,1.9311769008636475,0.0,2.305985450744629,112,120,112,8.0,8,8,0,0,0,0,,123,0.6791450970720674,6.239778063086693
random,eval_flow_id,4,0,0,0,8.409431580543519,5.8108696937561035,0.1594080412019817,100.0,500,1.0,0.37973976135253906,1.9831628799438477,0.0,0.3323076367378235,121,129,121,8.0,8,8,0,0,0,0,,127,0.37973976900970835,4.183133512134327
random,eval_flow_id,5,0,0,0,8.478041358947754,6.102668285369873,0.20173163316615048,100.0,500,1.0,0.5511837005615234,2.170154333114624,0.0,0.6581453680992126,80,86,80,6.0,6,6,0,0,0,0,,76,0.5511836965573078,8.570154064427946
random,eval_flow_id,6,0,0,0,8.323560916900634,3.576127529144287,0.17906927348391646,100.0,500,1.0,0.45555704832077026,2.0768730640411377,0.0,2.67981219291687,73,79,73,6.0,6,6,0,0,0,0,,76,0.4555570582614115,7.540965708122109
random,eval_flow_id,7,0,0,0,9.731435611724853,5.738038063049316,0.10955507504534562,100.0,500,1.0,0.7351452112197876,1.8016258478164673,0.0,1.605433702468872,85,90,85,5.0,5,5,0,0,0,0,97.1539381189925,89,0.7351452166184702,8.563359343512893
random,eval_flow_id,8,0,0,0,8.22190278816223,5.508913040161133,0.12614495227631375,100.0,500,1.0,0.9873356819152832,2.52099347114563,0.0,2.636143922805786,67,72,67,5.0,5,5,0,0,0,0,,67,0.9873356761645786,8.028606418711203
random,eval_flow_id,9,0,0,0,9.364111771583557,5.15273904800415,0.05712766178182642,100.0,500,1.0,0.49075427651405334,1.7705316543579102,0.0,1.321592926979065,102,109,102,7.0,7,7,0,0,0,0,94.78601743734042,106,0.4907542743271427,7.240300795412024
random,eval_flow_id,10,0,0,0,8.341437695503235,4.653625011444092,0.057117890932800154,100.0,500,1.0,0.403243750333786,0.9845674633979797,0.0,0.9660825729370117,83,88,83,5.0,5,5,0,0,0,0,,86,0.4032437424820246,3.916948008353155
random,eval_flow_id,11,0,0,0,9.128003125190736,5.467601299285889,0.020970062622207117,100.0,500,1.0,1.0653706789016724,2.8613321781158447,0.0,0.49634355306625366,100,107,100,7.0,7,7,0,0,0,0,,109,1.0653707256996676,3.2411492222353098
random,eval_flow_id,12,0,0,0,8.146111062049865,4.202310562133789,0.20216796962424408,100.0,500,1.0,0.6606423258781433,2.178837776184082,0.0,0.49461063742637634,63,69,63,6.0,6,6,0,0,0,0,,72,0.6606423021781005,7.285034865162161
random,eval_flow_id,13,0,0,0,8.693287649154662,4.370850086212158,0.003751023411524234,100.0,500,1.0,0.36815446615219116,1.5910711288452148,0.0,1.690775752067566,95,103,95,8.0,8,8,0,0,0,0,,91,0.36815445954755477,3.9762122767558994
random,eval_flow_id,14,0,0,0,8.498390357017517,5.295348644256592,0.0,100.0,500,1.0,0.5742099285125732,2.303459405899048,0.0,1.0586163997650146,73,78,73,5.0,5,5,0,0,0,0,,76,0.5742099564123082,8.06134755114632
random,eval_flow_id,15,0,0,0,7.530500473976136,4.897010326385498,0.09433091484274342,100.0,500,1.0,0.5329064130783081,1.9551163911819458,0.0,1.9180041551589966,93,99,93,6.0,6,6,0,0,0,0,,95,0.5329064404863538,7.852446956976111
random,eval_flow_id,16,0,0,0,7.339748302459717,3.0183401107788086,0.059914172769769326,100.0,500,1.0,0.40301862359046936,1.8067277669906616,0.0,0.0,96,102,96,6.0,6,6,0,0,0,0,,102,0.4030186185944991,3.2730313965138604
