method_key,method,checkpoint,checkpoint_step,checkpoint_label,scenario,motion_mode,threat_class,z_norm_raw_count,z_norm_raw_mean,z_norm_raw_median,z_norm_raw_p95,z_norm_raw_max,z_norm_raw_min,z_norm_raw_std,z_norm_raw_nan_count,z_norm_raw_inf_count,z_norm_after_count,z_norm_after_mean,z_norm_after_median,z_norm_after_p95,z_norm_after_max,z_norm_after_min,z_norm_after_std,z_norm_after_nan_count,z_norm_after_inf_count,z_zero_norm_count_count,z_zero_norm_count_mean,z_zero_norm_count_median,z_zero_norm_count_p95,z_zero_norm_count_max,z_zero_norm_count_min,z_zero_norm_count_std,z_zero_norm_count_nan_count,z_zero_norm_count_inf_count,history_valid_ratio_count,history_valid_ratio_mean,history_valid_ratio_median,history_valid_ratio_p95,history_valid_ratio_max,history_valid_ratio_min,history_valid_ratio_std,history_valid_ratio_nan_count,history_valid_ratio_inf_count,inactive_forwarded_count_count,inactive_forwarded_count_mean,inactive_forwarded_count_median,inactive_forwarded_count_p95,inactive_forwarded_count_max,inactive_forwarded_count_min,inactive_forwarded_count_std,inactive_forwarded_count_nan_count,inactive_forwarded_count_inf_count,delta_norm_1s_count,delta_norm_1s_mean,delta_norm_1s_median,delta_norm_1s_p95,delta_norm_1s_max,delta_norm_1s_min,delta_norm_1s_std,delta_norm_1s_nan_count,delta_norm_1s_inf_count,logvar_xy_1s_count,logvar_xy_1s_mean,logvar_xy_1s_median,logvar_xy_1s_p95,logvar_xy_1s_max,logvar_xy_1s_min,logvar_xy_1s_std,logvar_xy_1s_nan_count,logvar_xy_1s_inf_count,logvar_xy_1s_span,delta_norm_2s_count,delta_norm_2s_mean,delta_norm_2s_median,delta_norm_2s_p95,delta_norm_2s_max,delta_norm_2s_min,delta_norm_2s_std,delta_norm_2s_nan_count,delta_norm_2s_inf_count,logvar_xy_2s_count,logvar_xy_2s_mean,logvar_xy_2s_median,logvar_xy_2s_p95,logvar_xy_2s_max,logvar_xy_2s_min,logvar_xy_2s_std,logvar_xy_2s_nan_count,logvar_xy_2s_inf_count,logvar_xy_2s_span,delta_norm_4s_count,delta_norm_4s_mean,delta_norm_4s_median,delta_norm_4s_p95,delta_norm_4s_max,delta_norm_4s_min,delta_norm_4s_std,delta_norm_4s_nan_count,delta_norm_4s_inf_count,logvar_xy_4s_count,logvar_xy_4s_mean,logvar_xy_4s_median,logvar_xy_4s_p95,logvar_xy_4s_max,logvar_xy_4s_min,logvar_xy_4s_std,logvar_xy_4s_nan_count,logvar_xy_4s_inf_count,logvar_xy_4s_span,projected_std_radial_count,projected_std_radial_mean,projected_std_radial_median,projected_std_radial_p95,projected_std_radial_max,projected_std_radial_min,projected_std_radial_std,projected_std_radial_nan_count,projected_std_radial_inf_count,projected_std_relvel_count,projected_std_relvel_mean,projected_std_relvel_median,projected_std_relvel_p95,projected_std_relvel_max,projected_std_relvel_min,projected_std_relvel_std,projected_std_relvel_nan_count,projected_std_relvel_inf_count
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,accel_decel,high,5479,26.46645099112839,26.09218978881836,40.58080940246582,45.6262092590332,10.226173400878906,7.119481281905914,0,0,5479,26.46645099112839,26.09218978881836,40.58080940246582,45.6262092590332,10.226173400878906,7.119481281905914,0,0,842,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5479,0.673142909736453,0.800000011920929,1.0,1.0,0.05000000074505806,0.3438826000816508,0,0,842,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5479,0.9360900224699991,0.9579882025718689,1.3862140893936157,1.7187061309814453,0.021225489675998688,0.30451301084417615,0,0,10958,-4.702921547268969,-5.0,-3.0413139820098882,-0.5633018016815186,-5.0,0.6832485522521602,0,0,4.4366981983184814,5479,2.868251304579197,2.9424796104431152,3.9882579326629637,5.576142311096191,0.04172147065401077,0.7854376921329338,0,0,10958,-4.14558542683397,-4.977882623672485,-1.6886104166507725,0.10621486604213715,-5.0,1.1631759356592128,0,0,5.106214866042137,5479,5.95145452728991,5.80592679977417,9.040488719940184,14.186094284057617,0.11824154108762741,1.8329153774991522,0,0,10958,-3.1139812067998083,-2.901358962059021,-0.8856771528720857,1.5938351154327393,-5.0,1.433253722901737,0,0,6.593835115432739,842,0.10643704677102402,0.08208499848842621,0.2042139999568461,0.5329570174217224,0.08208498358726501,0.057819928632130535,0,0,842,0.10364064370722216,0.08208499848842621,0.19547378420829753,0.6658021211624146,0.08208498358726501,0.05346587738538716,0,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,crossing_or_sudden_threat,high,2348,23.291820859990292,23.739450454711914,30.269785499572755,37.328582763671875,9.313806533813477,4.942624205470594,0,0,2348,23.291820859990292,23.739450454711914,30.269785499572755,37.328582763671875,9.313806533813477,4.942624205470594,0,0,378,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2348,0.6837521298793248,0.800000011920929,1.0,1.0,0.05000000074505806,0.3389422880956371,0,0,378,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2348,0.9614818681307531,0.9977607429027557,1.3932063817977904,1.5769256353378296,0.009271834045648575,0.30532946569340014,0,0,4696,-4.573392410332644,-5.0,-2.823871612548828,-0.637550950050354,-5.0,0.7691206431951275,0,0,4.362449049949646,2348,2.813006596338302,2.974636197090149,3.7615209698677066,4.595531940460205,0.13965344429016113,0.7253516065841108,0,0,4696,-3.931856604172409,-4.5103065967559814,-1.5159084498882294,0.09463363885879517,-5.0,1.2303263834134992,0,0,5.094633638858795,2348,5.506229847161896,5.561204671859741,7.436933565139771,10.378637313842773,0.2615484595298767,1.35719756827396,0,0,4696,-2.921370891745288,-2.7575079202651978,-0.6951147019863129,1.5035715103149414,-5.0,1.4013024740432254,0,0,6.503571510314941,378,0.10805607553591173,0.08208499848842621,0.23798230960965142,0.3956873118877411,0.08208498358726501,0.054360811924502477,0,0,378,0.10347539247580306,0.08208499848842621,0.21603220701217646,0.3436795473098755,0.08208498358726501,0.04189116667395965,0,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,sinusoidal_lateral,high,9830,28.57517689950347,27.75606060028076,42.77648372650146,49.35636901855469,9.691431045532227,8.083811320036968,0,0,9830,28.57517689950347,27.75606060028076,42.77648372650146,49.35636901855469,9.691431045532227,8.083811320036968,0,0,1599,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9830,0.6902695833708208,0.800000011920929,1.0,1.0,0.05000000074505806,0.3376526861843027,0,0,1599,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9830,0.9859184170462048,1.0204156637191772,1.419994980096817,1.722645878791809,0.022705765441060066,0.302807959884746,0,0,19660,-4.790928345524525,-5.0,-3.4615405678749087,-0.6414307355880737,-5.0,0.5564046999894483,0,0,4.358569264411926,9830,2.9232976918810807,2.9995449781417847,4.1772592782974245,5.6821417808532715,0.10523149371147156,0.8293575166091484,0,0,19660,-4.309347184795208,-5.0,-2.0310486912727357,0.16477741301059723,-5.0,1.045589372022192,0,0,5.164777413010597,9830,6.0658468627675015,5.8087358474731445,10.142980527877805,14.618849754333496,0.06409498304128647,2.100457303876613,0,0,19660,-3.1517064439153177,-2.9233916997909546,-1.0018543362617498,2.3151683807373047,-5.0,1.3675332828413866,0,0,7.315168380737305,1599,0.09412332438747908,0.08208499848842621,0.15811763256788253,0.5482270121574402,0.08208498358726501,0.03654653523738349,0,0,1599,0.09444578256623457,0.08208499848842621,0.16525076180696488,0.6059409976005554,0.08208498358726501,0.03611503908220445,0,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,linear,high,4822,27.115592052114796,25.415696144104004,42.11917324066161,49.961708068847656,9.854515075683594,8.798221330755656,0,0,4822,27.115592052114796,25.415696144104004,42.11917324066161,49.961708068847656,9.854515075683594,8.798221330755656,0,0,825,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4822,0.6914661969774766,0.800000011920929,1.0,1.0,0.05000000074505806,0.33656945545584704,0,0,825,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4822,0.9671119088511752,0.9959971904754639,1.383779215812683,1.8600077629089355,0.020641537383198738,0.2878481451128563,0,0,9644,-4.635897919010295,-5.0,-2.8489812850952148,-0.5941564440727234,-5.0,0.7557633828217937,0,0,4.405843555927277,4822,2.913980828533633,3.000839948654175,4.194006538391111,5.689229965209961,0.01385447196662426,0.8143539123849564,0,0,9644,-4.119843268069377,-5.0,-1.589327549934387,0.2993704676628113,-5.0,1.2180145653776573,0,0,5.299370467662811,4822,6.155359781353782,5.961769104003906,10.095461511611935,13.87305736541748,0.05876804515719414,1.9990194528147054,0,0,9644,-3.090467219892329,-2.828101634979248,-0.9123422414064403,1.7946869134902954,-5.0,1.4276966590538056,0,0,6.794686913490295,825,0.11229291591680411,0.08208499848842621,0.2471038877964019,0.6450210213661194,0.08208498358726501,0.0656799572942924,0,0,825,0.11254502673040737,0.08208499848842621,0.24318416714668264,0.5919541716575623,0.08208498358726501,0.06137072358538891,0,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,ar1_velocity,high,6787,26.944833254838738,26.374195098876953,39.47105331420898,48.27656936645508,9.256096839904785,6.961578043597337,0,0,6787,26.944833254838738,26.374195098876953,39.47105331420898,48.27656936645508,9.256096839904785,6.961578043597337,0,0,1016,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6787,0.6939737737492765,0.8500000238418579,1.0,1.0,0.05000000074505806,0.3367158494016434,0,0,1016,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6787,0.9272748401345439,0.9488288164138794,1.3869679808616637,1.7588865756988525,0.027340328320860863,0.306839431730951,0,0,13574,-4.750257713183117,-5.0,-3.232220959663393,-0.7663595080375671,-5.0,0.6149363896059878,0,0,4.233640491962433,6787,2.8221724874732312,2.882591724395752,4.034663486480713,5.823276042938232,0.040064744651317596,0.8144010828609441,0,0,13574,-4.147971766854988,-4.927204370498657,-1.7897435426712058,0.1785574108362198,-5.0,1.1373369832116316,0,0,5.17855741083622,6787,5.998556653792111,5.796962261199951,9.594608688354489,15.42021369934082,0.09041166305541992,1.959671520406859,0,0,13574,-2.916867159870846,-2.6814664602279663,-0.5484608590602883,1.727020502090454,-5.0,1.4968102502689635,0,0,6.727020502090454,1016,0.10138687855879387,0.08208499848842621,0.24506336450576782,0.5689061880111694,0.08208498358726501,0.055462214105396035,0,0,1016,0.09935172231442581,0.08208499848842621,0.2255166880786419,0.44291189312934875,0.08208498358726501,0.04691550000604032,0,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,ar1_velocity,medium,279,20.59780721083337,19.278715133666992,28.996571159362787,36.16163635253906,10.916584968566895,5.406131467252047,0,0,279,20.59780721083337,19.278715133666992,28.996571159362787,36.16163635253906,10.916584968566895,5.406131467252047,0,0,51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,279,0.5240143375958594,0.5,1.0,1.0,0.05000000074505806,0.3518211894228778,0,0,51,0.0,0.0,0.0,0.0,0.0,0.0,0,0,279,0.8600520434385452,0.8632630705833435,1.3979833483695983,1.532474398612976,0.022395314648747444,0.3270044225296385,0,0,558,-4.289474531207033,-4.9313578605651855,-2.195487225055695,-0.5225738286972046,-5.0,0.9982798580236717,0,0,4.477426171302795,279,2.563407201920786,2.703911066055298,3.571199345588684,4.061418056488037,0.2964649200439453,0.7380995273589241,0,0,558,-3.461504991049461,-3.7378904819488525,-1.071633589267731,0.4062758982181549,-5.0,1.405383735210655,0,0,5.406275898218155,279,5.030228516106964,4.976408004760742,6.793045806884763,8.790715217590332,1.6651835441589355,1.2692048139709151,0,0,558,-2.4937967116573967,-2.3827555179595947,-0.22116095423698476,1.7051336765289307,-5.0,1.430198883828562,0,0,6.705133676528931,51,0.1455906575509146,0.08885082602500916,0.2686003968119621,0.5270489454269409,0.08208499103784561,0.08440177882945021,0,0,51,0.1657793741015827,0.11350323259830475,0.30280792713165283,0.5313529372215271,0.08208498358726501,0.09928132803102115,0,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,sinusoidal_lateral,medium,100,26.25104208946228,27.17000389099121,34.95469627380371,39.13544845581055,11.083069801330566,5.92634428801067,0,0,100,26.25104208946228,27.17000389099121,34.95469627380371,39.13544845581055,11.083069801330566,5.92634428801067,0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,0.678999999947846,0.949999988079071,1.0,1.0,0.05000000074505806,0.38354790964263663,0,0,18,0.0,0.0,0.0,0.0,0.0,0.0,0,0,100,0.7430323707312345,0.680188775062561,1.2956428110599518,1.4125895500183105,0.04966600984334946,0.3323409191956775,0,0,200,-4.78414302110672,-5.0,-3.3508154392242484,-1.286632776260376,-5.0,0.6802391220229882,0,0,3.713367223739624,100,2.4289148908853533,2.4733123779296875,3.710281240940094,4.145084381103516,0.4352062940597534,0.8557925493070211,0,0,200,-4.126638484597206,-4.777332067489624,-1.3858212351799022,-0.5246593356132507,-5.0,1.136488593567555,0,0,4.475340664386749,100,5.3166098320484165,5.129664182662964,9.536941051483154,11.7555570602417,1.536301851272583,2.0142327977563683,0,0,200,-2.8591248393431306,-2.6328014135360718,-0.603241419792177,1.88917875289917,-5.0,1.5408962367313488,0,0,6.88917875289917,18,0.10253260698583391,0.08208499848842621,0.16655982881784398,0.40674856305122375,0.08208499103784561,0.07440608422731237,0,0,18,0.1096082694000668,0.08208499848842621,0.2190344475209709,0.4637034833431244,0.08208498358726501,0.08848826132956863,0,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,linear,medium,28,25.63168822016035,22.82541275024414,39.43400497436524,39.64324951171875,10.601150512695312,11.35065299858576,0,0,28,25.63168822016035,22.82541275024414,39.43400497436524,39.64324951171875,10.601150512695312,11.35065299858576,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,28,0.38214285685015575,0.1250000037252903,1.0,1.0,0.05000000074505806,0.401829360268491,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,28,0.79619600863329,0.8679046630859375,1.232024735212326,1.541696310043335,0.09248974919319153,0.39479628783069753,0,0,56,-4.273759534316404,-5.0,-1.3981834948062897,-0.941406786441803,-5.0,1.2574984616121812,0,0,4.058593213558197,28,2.686703005007335,2.9906126260757446,3.8122286319732663,4.073071002960205,1.150179147720337,0.9254703485676741,0,0,56,-3.792117606316294,-4.502743244171143,-0.6466100364923477,-0.28232014179229736,-5.0,1.5454407772755823,0,0,4.717679858207703,28,5.515754069600787,5.782182693481445,8.144122457504272,8.306472778320312,2.259938955307007,1.8811970098494966,0,0,56,-2.895696256841932,-2.692760944366455,-1.0422506928443909,-0.7151800990104675,-5.0,1.2994594957654124,0,0,4.2848199009895325,5,0.1779230624437332,0.101580910384655,0.38696205019950863,0.4369819462299347,0.08208499103784561,0.13519598425733198,0,0,5,0.1934104561805725,0.1259099245071411,0.4108451604843139,0.45908448100090027,0.08208499103784561,0.14179200859043337,0,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,accel_decel,medium,70,27.560577487945558,28.695768356323242,35.302581214904784,37.570518493652344,12.129631996154785,5.468998231245351,0,0,70,27.560577487945558,28.695768356323242,35.302581214904784,37.570518493652344,12.129631996154785,5.468998231245351,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,70,0.607857144890087,0.8250000178813934,1.0,1.0,0.05000000074505806,0.4051133625945603,0,0,12,0.0,0.0,0.0,0.0,0.0,0.0,0,0,70,0.9591214869703565,1.0552932620048523,1.3577137887477875,1.4461077451705933,0.13089856505393982,0.31341053970527344,0,0,140,-4.8045302050454275,-5.0,-2.964750874042515,-1.6533541679382324,-5.0,0.6436889164013391,0,0,3.3466458320617676,70,2.8677484163216183,2.92405104637146,3.735066223144531,4.086117267608643,0.7142569422721863,0.6904356712157069,0,0,140,-4.338323935014861,-4.8928515911102295,-2.0393740594387135,-0.205802321434021,-5.0,1.0360518320939864,0,0,4.794197678565979,70,5.408923704283578,5.425288915634155,8.458092927932737,10.499152183532715,1.5658824443817139,1.6751844419075803,0,0,140,-3.081079706975392,-3.0493578910827637,-0.659617584943772,1.496657371520996,-5.0,1.5053952616208388,0,0,6.496657371520996,12,0.09042059319714706,0.08208499476313591,0.12709723338484757,0.1821121871471405,0.08208498358726501,0.02764605577834124,0,0,12,0.0849102009087801,0.08208499848842621,0.09734110161662099,0.11598744988441467,0.08208499103784561,0.009370143124422046,0,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_id,crossing_or_sudden_threat,medium,13,26.09987765092116,34.01696014404297,35.94412536621093,36.65565490722656,9.831517219543457,11.096465977193857,0,0,13,26.09987765092116,34.01696014404297,35.94412536621093,36.65565490722656,9.831517219543457,11.096465977193857,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,13,0.3807692281328715,0.15000000596046448,1.0,1.0,0.05000000074505806,0.36718181148734635,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,13,0.6729210489071332,0.71840900182724,1.15566086769104,1.1860817670822144,0.0761045292019844,0.3458310561759076,0,0,26,-4.245319902896881,-5.0,-1.9283945560455322,-0.7441467046737671,-5.0,1.3086703428301036,0,0,4.255853295326233,13,2.3402136197456946,2.511110782623291,3.5347320079803466,3.5553791522979736,0.546248733997345,1.0126687548398057,0,0,26,-3.8334959860031423,-4.705743312835693,-0.9881117194890976,-0.29618775844573975,-5.0,1.5540609775814613,0,0,4.70381224155426,13,5.264278063407311,5.008366107940674,8.189138221740723,8.250574111938477,1.6279315948486328,2.042985723698515,0,0,26,-3.0160456964602838,-2.632662773132324,-1.1912926733493805,0.5628603100776672,-5.0,1.5369115363577335,0,0,5.562860310077667,2,0.2974977120757103,0.2974977120757103,0.491369154304266,0.5129104256629944,0.08208499848842621,0.2154127135872841,0,0,2,0.3494292423129082,0.3494292423129082,0.5900390617549419,0.6167734861373901,0.08208499848842621,0.26734424382448196,0,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_high_density,accel_decel,high,8536,26.87113873625651,25.725147247314453,42.36728382110596,47.656494140625,9.435214042663574,7.756894408178566,0,0,8536,26.87113873625651,25.725147247314453,42.36728382110596,47.656494140625,9.435214042663574,7.756894408178566,0,0,946,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8536,0.678824976979534,0.800000011920929,1.0,1.0,0.05000000074505806,0.332667660922013,0,0,946,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8536,0.9567510405301807,0.9735604226589203,1.4174080193042755,1.79384446144104,0.015545481815934181,0.3065273255296868,0,0,17072,-4.724799247348599,-5.0,-3.1785596132278444,-0.4419635534286499,-5.0,0.6425761896600942,0,0,4.55803644657135,8536,2.872173924011727,2.8906872272491455,4.07290244102478,5.878969192504883,0.031511131674051285,0.7824719757748653,0,0,17072,-4.171499746141566,-5.0,-1.7814085185527808,0.05536533519625664,-5.0,1.1444443715372128,0,0,5.055365335196257,8536,6.008841428912708,5.721945762634277,10.061368942260742,16.238140106201172,0.06400042772293091,1.9974697724355426,0,0,17072,-3.075407548005583,-2.8907015323638916,-0.8629529505968097,1.9223339557647705,-5.0,1.4027959914123354,0,0,6.9223339557647705,946,0.09975515363489851,0.08208499848842621,0.20039953663945198,0.5349974036216736,0.08208498358726501,0.046193906324299226,0,0,946,0.0990982341637193,0.08208499848842621,0.19521687552332878,0.6807864904403687,0.08208498358726501,0.04582679485071073,0,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_high_density,crossing_or_sudden_threat,high,5776,27.635840722233304,26.813681602478027,40.80234432220459,46.77846145629883,9.26500415802002,7.97399592292056,0,0,5776,27.635840722233304,26.813681602478027,40.80234432220459,46.77846145629883,9.26500415802002,7.97399592292056,0,0,646,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5776,0.6681007622209716,0.75,1.0,1.0,0.05000000074505806,0.3424403875263947,0,0,646,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5776,0.9557296111741184,0.9945299327373505,1.4016629457473755,1.7657225131988525,0.01707308366894722,0.30586800505049166,0,0,11552,-4.706388936685062,-5.0,-3.2127986550331116,-0.5863885283470154,-5.0,0.6503877631016114,0,0,4.413611471652985,5776,2.9003651090517093,2.9894315004348755,4.132282972335815,5.554666519165039,0.03125019744038582,0.8286134980394726,0,0,11552,-4.21684493265957,-5.0,-1.8546182155609134,0.1172228753566742,-5.0,1.1360728591041036,0,0,5.117222875356674,5776,6.199703727795941,6.130035161972046,9.809274196624756,14.322199821472168,0.11846687644720078,2.0310241287591526,0,0,11552,-3.104247492015632,-2.852418541908264,-1.0213340640068054,2.2557997703552246,-5.0,1.3958983268584335,0,0,7.255799770355225,646,0.10595553443297144,0.08208499848842621,0.23338015750050545,0.5160552263259888,0.08208498358726501,0.054718884152482314,0,0,646,0.1036990627807914,0.08208499848842621,0.19511893391609192,0.5705869793891907,0.08208498358726501,0.0509016580913247,0,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_high_density,sinusoidal_lateral,high,9697,28.93118021824292,28.263023376464844,42.624236297607425,47.93841552734375,10.075113296508789,8.48639473715076,0,0,9697,28.93118021824292,28.263023376464844,42.624236297607425,47.93841552734375,10.075113296508789,8.48639473715076,0,0,1073,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9697,0.665870888335589,0.75,1.0,1.0,0.05000000074505806,0.33941855630998935,0,0,1073,0.0,0.0,0.0,0.0,0.0,0.0,0,0,9697,0.9566382774141009,0.9814844131469727,1.390427589416504,1.7968066930770874,0.03208621218800545,0.2948338666409086,0,0,19394,-4.7298853264554355,-5.0,-3.1257960677146923,-0.255324125289917,-5.0,0.6606031427212943,0,0,4.744675874710083,9697,2.8979099361396727,2.9366259574890137,4.174593257904053,5.784739971160889,0.06429921090602875,0.7884745025128689,0,0,19394,-4.287583389964212,-5.0,-1.8527870059013367,0.24823400378227234,-5.0,1.0997272944376184,0,0,5.248234003782272,9697,6.201589910945926,6.042884349822998,9.942609405517578,15.37413215637207,0.011514893732964993,1.9702851779935522,0,0,19394,-3.1445067285104735,-2.9572904109954834,-1.0011083006858834,2.7145097255706787,-5.0,1.3955826135167173,0,0,7.714509725570679,1073,0.09873670852028757,0.08208499848842621,0.1950152277946472,0.4490719437599182,0.08208498358726501,0.04332133637636313,0,0,1073,0.09795930224079344,0.08208499848842621,0.1968137264251708,0.5148519277572632,0.08208498358726501,0.040602910734608574,0,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_high_density,ar1_velocity,high,8665,28.41992820887227,27.266511917114258,42.21210784912109,46.69401931762695,9.592401504516602,7.308807840511012,0,0,8665,28.41992820887227,27.266511917114258,42.21210784912109,46.69401931762695,9.592401504516602,7.308807840511012,0,0,978,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8665,0.6685574153944446,0.75,1.0,1.0,0.05000000074505806,0.343105528052422,0,0,978,0.0,0.0,0.0,0.0,0.0,0.0,0,0,8665,1.0010312258088032,1.0441416501998901,1.4011608123779296,1.7868841886520386,0.05623359978199005,0.28971275007383324,0,0,17330,-4.8203909702887096,-5.0,-3.5921116948127745,-0.9565322995185852,-5.0,0.5116142221795053,0,0,4.043467700481415,8665,2.9108531329211167,2.984204053878784,4.077351093292235,5.752192497253418,0.04439464956521988,0.7632048294888942,0,0,17330,-4.332071469070264,-5.0,-2.1711063265800483,0.07175911962985992,-5.0,0.9957566806099456,0,0,5.07175911962986,8665,5.974336887938193,5.636792182922363,9.929565620422363,14.841106414794922,0.13475370407104492,1.981487245125478,0,0,17330,-3.038063944026557,-2.8447073698043823,-0.8901720553636552,1.8456995487213135,-5.0,1.3425184297951631,0,0,6.8456995487213135,978,0.09081479584786789,0.08208499848842621,0.13136817812919616,0.47400495409965515,0.08208498358726501,0.030713200101155587,0,0,978,0.09265892845264241,0.08208499848842621,0.15325217321515083,0.5235784649848938,0.08208498358726501,0.03223601729385029,0,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_high_density,ar1_velocity,medium,106,22.73648797341113,22.69105339050293,31.056864261627197,34.103519439697266,11.963068008422852,4.770933928433611,0,0,106,22.73648797341113,22.69105339050293,31.056864261627197,34.103519439697266,11.963068008422852,4.770933928433611,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,106,0.6528301893399572,0.8500000238418579,1.0,1.0,0.05000000074505806,0.37396588019853133,0,0,13,0.0,0.0,0.0,0.0,0.0,0.0,0,0,106,0.7057928151960643,0.6836331486701965,1.1525830328464508,1.3801778554916382,0.13243407011032104,0.2614445205021957,0,0,212,-4.678737583868909,-5.0,-2.741428411006932,-0.8640180230140686,-5.0,0.7669556124701742,0,0,4.135981976985931,106,2.410709306316556,2.501835584640503,3.385518431663513,3.8994433879852295,0.5231006145477295,0.7225280205729744,0,0,212,-3.8007601870680756,-4.114094257354736,-1.3797288358211521,-0.6008025407791138,-5.0,1.2583418043188634,0,0,4.399197459220886,106,5.214183653300664,5.186095476150513,7.815573811531067,8.782278060913086,1.2751212120056152,1.4743915281244624,0,0,212,-2.9402814825891324,-2.456021785736084,-0.8984818756580355,0.7354450225830078,-5.0,1.5279387645421285,0,0,5.735445022583008,13,0.1078138815668913,0.08302187919616699,0.20854118764400456,0.31944921612739563,0.08208499103784561,0.06291117360586905,0,0,13,0.10318837257531974,0.0863891988992691,0.1625736758112906,0.22147825360298157,0.08208499103784561,0.03659137693151358,0,0
n3f_no_z_full,gpsi_no_z_full_1500k,n3f_no_z_full_250k,250000,250k,eval_flow_high_density,linear,high,7199,25.436142021822487,23.362590789794922,40.98832855224609,49.50874328613281,9.475407600402832,8.166963088733093,0,0,7199,25.436142021822487,23.362590789794922,40.98832855224609,49.50874328613281,9.475407600402832,8.166963088733093,0,0,830,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7199,0.6656688433800295,0.75,1.0,1.0,0.05000000074505806,0.3315321045939132,0,0,830,0.0,0.0,0.0,0.0,0.0,0.0,0,0,7199,0.9325824649509026,0.9583280086517334,1.3765841960906982,1.8545374870300293,0.023889202624559402,0.2986099381235753,0,0,14398,-4.556502674220503,-5.0,-2.7542171239852906,-0.4077497720718384,-5.0,0.799277956063332,0,0,4.592250227928162,7199,2.796648931460449,2.8812496662139893,4.052595901489257,5.7299957275390625,0.06484153866767883,0.8131499430383118,0,0,14398,-3.963584317407228,-4.7627785205841064,-1.4928248643875126,0.4602150321006775,-5.0,1.2762900335957665,0,0,5.4602150321006775,7199,5.88088259896374,5.720460891723633,9.195202732086182,14.200898170471191,0.1260416954755783,1.776549551227385,0,0,14398,-2.963551152678581,-2.7357702255249023,-0.6791391342878343,2.2803730964660645,-5.0,1.4554806328900156,0,0,7.2803730964660645,830,0.11248769572520831,0.08208499848842621,0.23440054431557655,0.6118873953819275,0.08208498358726501,0.05927137280192794,0,0,830,0.10959628218986901,0.08208499848842621,0.2049129873514175,0.5910274982452393,0.08208498358726501,0.053230014632080325,0,0
